customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4223-BKEOR,0,0,0,1,-0.46303730927815856,1,0,0,2,0,2,0,0,2,1,0,3,0.0029349840813665527,-0.41600650810759343
6035-RIIOM,0,0,0,0,0.880734693482843,1,2,1,0,2,0,0,2,2,2,1,0,1.0781176431888486,1.2572458881739819
3797-VTIDR,1,0,1,0,-1.2774445836787656,0,1,0,0,0,0,0,0,0,0,1,2,-1.3730329320561832,-0.9954340942693556
2568-BRGYX,1,0,0,0,-1.1552834925186746,1,0,1,0,0,0,0,0,0,0,1,2,0.18074726309914202,-0.9008003582266418
2775-SEFEE,1,0,0,1,-1.318164947398796,1,2,0,2,2,0,2,0,0,2,1,0,-0.09511103892843457,-1.005779833710855
4291-SHSBH,1,0,0,0,-1.0331224013585834,1,0,1,0,0,0,0,0,0,0,1,2,0.15914390209698223,-0.7757691190914203
4635-EJYPD,1,0,1,1,-0.015113308357824713,1,0,2,1,1,1,1,1,1,2,0,3,-1.5225946620711341,-0.7349155808277592
2607-DHDAK,1,0,1,1,1.6137012404433893,1,0,2,1,1,1,1,1,1,2,1,1,-1.4943441130683104,-0.38166041789348965
5204-QZXPU,1,0,0,0,-0.5444780367182193,0,1,0,0,0,2,0,2,0,0,1,2,-0.8346107040023594,-0.6822383403452418
0221-NAUXK,1,0,0,1,-0.9109613101984924,1,0,2,1,1,1,1,1,1,1,1,0,-1.4893587220678117,-0.9089401830750711
3398-ZOUAA,1,1,1,0,-0.46303730927815856,1,0,1,0,0,0,0,0,0,0,1,2,0.14418772909548702,-0.35514532448478525
1768-HNVGJ,0,1,0,0,0.5142514200025698,1,2,0,2,0,0,2,0,2,0,1,2,0.17576187209864347,0.3453207953987413
5917-RYRMG,1,1,0,0,-0.015113308357824713,1,0,2,1,1,1,1,1,1,1,0,1,-1.4943441130683104,-0.746496632441378
3858-XHYJO,0,0,1,0,0.3106496014024181,1,2,1,2,0,2,0,2,2,1,0,0,1.3622849302172555,0.8597841967945847
4837-PZTIC,0,0,0,0,0.5956921474426305,0,1,0,2,0,2,2,0,0,2,0,3,-0.7598298389948839,-0.1784515655798584
2773-MADBQ,0,0,0,0,0.14776814652229667,0,1,0,2,2,2,2,0,2,2,1,3,-0.3875873109576722,-0.1669808096958931
1090-PYKCI,0,0,1,1,1.4915401492832983,1,2,1,2,2,2,2,2,0,1,1,1,1.3406815692150957,2.1860903458780716
9479-HYNYL,0,0,1,0,1.5729808767233588,1,0,0,0,2,2,2,2,2,2,1,1,0.5297246331340278,1.511190776128229
4565-NLZBV,0,0,1,0,1.5729808767233588,1,2,2,1,1,1,1,1,1,2,1,0,-1.3331498040521963,-0.25129086544303797
8318-LCNBW,1,0,1,0,0.10704778280226633,0,1,0,2,0,2,0,2,2,1,0,1,-0.3859255139575061,-0.15389973615898647
9261-WDCAF,1,0,0,0,-1.1960038562387048,1,0,0,0,0,0,0,0,2,0,0,3,-0.33607160395252245,-0.9223521438009382
4909-JOUPP,1,1,1,0,1.6137012404433893,1,2,1,0,2,2,2,2,2,2,0,1,1.4935668932303794,2.4788813898162854
1951-IEYXM,1,0,1,1,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.85876043916692,1.836254350563061
4227-OJHAL,0,0,1,1,1.4508197855632678,1,2,0,2,2,2,0,2,0,1,1,1,0.27380789510844483,1.2720475750934834
1708-PBBOA,0,0,0,0,0.3920903288424788,0,1,0,2,2,2,2,0,2,1,1,2,-0.3327480099521901,0.030316191508309838
8746-BFOAJ,1,1,0,0,-0.46303730927815856,1,0,2,1,1,1,1,1,1,1,0,0,-1.4710789550659844,-0.81626971102019
4145-UQXUQ,0,1,0,0,-0.9924020376385531,1,0,1,0,0,2,0,2,2,0,1,2,0.9086143491719036,-0.6837383622685295
9518-XXBXE,1,1,1,0,-0.9109613101984924,1,0,1,2,0,0,0,0,0,0,0,2,0.3502505571160864,-0.687929599995363
9558-IHEZX,0,0,0,0,1.5729808767233588,1,2,1,2,2,2,0,2,2,2,1,1,1.395520870220578,2.207465658284922
1707-HABPF,0,1,0,0,0.5549717837226001,1,0,1,0,2,2,0,2,0,1,1,0,0.8820255971692458,0.814695302512229
9643-AVVWI,0,0,1,1,-1.1960038562387048,1,0,1,0,2,0,2,0,0,0,1,2,0.5064594751317021,-0.8993223954492848
3398-FSHON,0,1,0,0,-0.8295205827584317,1,2,1,0,2,0,0,2,0,0,1,2,0.8820255971692458,-0.5229051292877777
9139-TWBAS,0,0,1,0,-0.2594354906780068,0,1,0,2,2,2,0,2,0,1,0,0,-0.562075995975115,-0.4805515691008289
0929-HYQEW,1,0,0,0,-1.1960038562387048,1,0,0,2,0,0,0,0,0,0,1,3,-0.4856333339674735,-0.9348155612517852
0487-CRLZF,0,0,0,0,0.6771328748826912,1,0,0,0,0,2,2,2,2,2,1,0,0.32200000811326246,0.6362588710787764
0454-OKRCT,1,0,0,0,0.025607055362205634,1,0,1,0,2,0,2,0,0,2,0,0,0.5264010391336954,0.16384020182685202
2347-WKKAE,1,0,1,0,0.3920903288424788,1,2,1,2,0,2,0,0,2,0,1,2,0.9850570111795457,0.7653931113571087
6663-JOCQO,1,0,1,1,-0.055833672077855064,1,2,0,2,2,0,2,0,2,1,1,0,0.3485887601159204,0.028573518979784423
1297-VQDRP,1,1,1,1,1.4508197855632678,1,2,1,0,0,2,2,2,2,1,1,1,1.4088152462219072,2.2500618690771086
4868-AADLV,1,1,1,1,1.369379058123207,1,2,1,2,2,2,2,2,2,1,1,2,1.7112623002521414,2.462910568162457
0788-DXBFY,1,0,1,1,1.0436161483629645,1,0,2,1,1,1,1,1,1,1,1,2,-1.502653098069141,-0.5165962135515968
5845-BZZIB,1,0,1,1,0.10704778280226633,1,0,2,1,1,1,1,1,1,2,0,3,-1.4843733310673135,-0.7166726671430683
7310-EGVHZ,1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,0,-1.481049737066981,-0.9968679387548512
4826-TZEVA,0,0,0,0,0.3106496014024181,1,0,1,0,2,0,0,0,0,0,0,1,0.33363258711442517,0.3052834455345163
4080-IIARD,0,0,1,0,-0.7888002190384014,1,2,0,2,2,0,2,2,0,0,1,2,0.3801629031190768,-0.5727808582370959
7672-VFMXZ,1,0,1,0,1.002895784642934,1,0,0,2,0,0,2,0,0,0,0,2,-0.3011738669490337,0.39347591096546486
9940-RHLFB,0,0,0,0,-1.2774445836787656,1,0,1,0,0,2,0,0,0,0,0,2,0.3502505571160864,-0.972558759939217
9117-SHLZX,1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,1,3,-0.6335332669822583,-0.985617774330193
7253-UVNDW,0,0,0,0,0.5549717837226001,1,0,0,0,0,2,2,0,0,2,0,1,-0.34604238595351905,0.0795963235174993
9898-KZQDZ,0,1,1,1,0.3106496014024181,1,2,1,0,0,0,0,2,2,0,1,1,0.9900424021800438,0.600324522357662
